Datum,Gewicht
2018-11-16,90.7
2018-11-15,89.9
2018-11-13,89.3
2018-11-09,90.8
2018-11-08,89.9
2018-11-05,90.8
2018-11-01,90.4
2018-10-31,89.8
2018-10-29,90.5
2018-10-28,90.3
2018-10-27,89.9
2018-10-23,90.3
2018-10-19,89.9
2018-09-28,89.8
2018-09-26,90.1
2018-09-24,88.6
2018-09-21,88.6
2018-09-20,89.6
2018-09-19,89.3
2018-09-17,89
2018-09-13,89.3
2018-09-12,90.3
2018-09-05,89.4
2018-09-04,87.1
2018-09-03,88
2018-09-01,89.2
2018-08-27,89.1
2018-08-26,89.1
2018-08-25,88
2018-08-22,88.8
2018-08-17,88.8
2018-08-14,88.9
2018-08-12,89.3
2018-08-10,88
2018-08-08,88.8
2018-08-06,89.2
2018-07-30,89.2
2018-07-25,88.1
2018-07-22,88.2
2018-07-21,89.4
2018-07-17,86.9
2018-07-14,87.7
2018-07-10,87.3
2018-07-06,88.2
2018-07-05,87
2018-07-03,87.4
2018-07-01,87
2018-06-26,88.6
2018-06-23,87
2018-06-18,86.3
2018-06-12,88.8
2018-06-11,88
2018-06-10,88
2018-06-07,87.8
2018-06-05,88.8
2018-06-04,89.5
2018-06-03,88.6
2018-05-31,88
2018-05-28,89.4
